,Alt,Time,P,T,Hu,Ws,Wd,Long,Lat,Geopot,MRI,RI,Dewp.,Virt,Rs,Elevation,Azimuth,Range,D,U,V,Ufiltered,Vfiltered,Tpotential,bv2,TemperatureFiltered
3413,17250,3984.0,86.7,-59.8,2.0,32.5,311.0,-79.690706,41.722867,17197.0,2739.875,31.688,-86.1,-59.8,4.7,13.5,116.0,71645.0,0.141644,21.32191844219148,24.528061357240098,1.786385238312624,-1.7639605676230672,431.37008694788625,-0.00026820056831230494,-2.63686959876233
3414,17255,3985.2,86.68,-59.82,2.0,32.4,310.0,-79.6903524,41.7226386,17203.0,2740.7402,31.6676,-86.1,-59.82,4.7,13.5,116.0,71683.2,0.1415526,20.82631855384387,24.81983995705489,1.8160355833836999,-1.809973458872429,431.35829886054813,-5.359889771437048e-05,-2.6502762804903304
3415,17260,3986.2,86.58,-59.9,2.0,32.379999999999995,310.0,-79.690066,41.7224522,17207.8,2741.4612,31.6506,-86.11999999999999,-59.9,4.7,13.5,116.0,71714.0,0.1414754,20.81346280165014,24.80451906819251,1.845389890894189,-1.856268008007275,431.33967055427496,-8.470414023317323e-05,-2.6632788344032443
3416,17265,3987.25,86.5,-59.925,2.0,32.275,310.0,-79.689772,41.72225925,17212.25,2742.218,31.6325,-86.2,-59.925,4.7,13.5,116.0,71745.5,0.14139325,20.745970102633052,24.724084401665017,1.8743602865792641,-1.9028018989234545,431.40338132765805,0.00028965431558487093,-2.675887386204348
3417,17270,3988.4,86.46000000000001,-60.0,2.0,32.2,310.0,-79.68944959999999,41.7220484,17218.0,2743.0528,31.6122,-86.2,-60.0,4.78,13.5,116.0,71780.4,0.14130279999999998,20.697761031906566,24.666631068431098,1.9028568444378249,-1.9495314062740676,431.3093993085838,-0.0004273724471722257,-2.6881124534830008
3418,17275,3989.4,86.36,-60.0,2.0,32.120000000000005,310.0,-79.68916899999999,41.7218644,17223.0,2743.7958,31.595200000000002,-86.2,-60.0,4.9,13.5,116.0,71811.0,0.141224,20.646338023131644,24.60534751298158,1.9307904700919183,-1.99641443964875,431.45217782747466,0.0006490540709894605,-2.69996470312802
3419,17280,3990.4,86.3,-60.04,2.0,32.0,310.0,-79.688889,41.721680799999994,17228.0,2744.5409999999997,31.5778,-86.2,-60.04,4.9,13.5,116.0,71841.0,0.1411432,20.569203509969256,24.5134221798073,1.9580729392785718,-2.043410767348552,431.457342233551,2.3476491365947625e-05,-2.7114543348549667
3420,17285,3991.4,86.26,-60.1,2.0,31.96,310.0,-79.6886086,41.7214974,17232.6,2745.2828,31.5598,-86.24,-60.1,4.9,13.5,116.0,71871.4,0.1410612,20.543492005581793,24.482780402082543,1.9846170424088792,-2.0904820961763164,431.3936303983956,-0.0002896656900797157,-2.722590868404902
3421,17290,3992.4,86.16,-60.14,2.0,31.86,310.0,-79.688328,41.7213138,17237.0,2746.0283999999997,31.5422,-86.3,-60.14,4.9,13.5,116.0,71902.0,0.1409796,20.479213244613142,24.406175957770643,2.0103370570213555,-2.137591743186758,431.4561259181699,0.00028409455894984613,-2.7333837287054226
3422,17295,3993.4,86.1,-60.2,2.0,31.8,310.4,-79.68804759999999,41.7211304,17242.0,2746.7832,31.5248,-86.3,-60.2,4.94,13.46,116.0,71932.0,0.140899,20.61021285380755,24.21691817966824,2.0351503123397015,-2.1847052363448087,431.4211076356496,-0.00015920038876155414,-2.743842625474157
3423,17300,3994.4,86.06,-60.24,2.0,31.76,311.0,-79.687767,41.7209464,17247.0,2747.5662,31.5072,-86.3,-60.24,5.08,13.4,116.0,71962.4,0.140819,20.836434760738506,23.969576267875247,2.0589812959361167,-2.231793309041183,431.39777812668154,-0.00010606653104015369,-2.7539775132389246
3424,17305,3995.4,85.96000000000001,-60.3,2.0,31.7,311.0,-79.687487,41.720762799999996,17252.4,2748.3552,31.4894,-86.34,-60.3,5.2,13.4,116.0,71993.0,0.14073660000000002,20.797071218999072,23.92429369306188,2.0817651229069996,-2.2788339036016225,431.4202063774793,0.00010196370148383754,-2.763798552860009
3425,17310,3996.4,85.9,-60.339999999999996,2.0,31.7,311.0,-79.6872066,41.7205794,17258.0,2749.1459999999997,31.4696,-86.4,-60.339999999999996,5.2,13.4,116.0,72023.4,0.1406478,20.797071218999072,23.92429369306188,2.1034452330518283,-2.325809317821057,431.4256565197406,2.4777217951177458e-05,-2.773316074548109
3426,17315,3997.4,85.86,-60.4,2.0,31.66,311.0,-79.686926,41.7203954,17263.0,2749.9324,31.449,-86.4,-60.4,5.2,13.4,116.0,72054.0,0.140556,20.770828857839454,23.894105309852968,2.123969065473678,-2.3727016647388486,431.36204610152754,-0.00028922577375856487,-2.782540542369956
3427,17320,3998.3333333333335,85.76666666666667,-60.4,2.0,31.6,311.0,-79.68666466666666,41.720223999999995,17267.666666666668,2750.675333333333,31.43,-86.43333333333334,-60.4,5.2,13.4,116.0,72082.33333333333,0.14047133333333334,20.731465316100024,23.848822735039604,2.143286449799967,-2.419491407737843,431.49624765998544,0.000610001927195549,-2.791482259950875
3428,17325,3999.2,85.68,-60.42,2.0,31.580000000000002,311.0,-79.68642179999999,41.7200652,17272.0,2751.3746,31.412,-86.5,-60.42,5.26,13.4,116.0,72109.0,0.14039200000000002,20.718344135520216,23.83372854343515,2.161349327265173,-2.4661579132171507,431.5806460728931,0.00038355088601499306,-2.8001505768981914
3429,17330,4000.1666666666665,85.6,-60.5,2.0,31.5,311.0,-79.68615033333334,41.7198875,17277.0,2752.1895,31.392500000000002,-86.51666666666667,-60.5,5.5,13.4,116.0,72138.16666666667,0.14030483333333332,20.665859413200973,23.773351777017325,2.1781116604338147,-2.5126797716583607,431.53437913638044,-0.00021028389620310684,-2.808553676060753
3430,17335,4001.0,85.6,-60.5,2.0,31.5,311.0,-79.685917,41.719735,17282.0,2752.892,31.375,-86.6,-60.5,5.5,13.4,116.0,72164.0,0.140229,20.665859413200973,23.773351777017325,2.1935295179890644,-2.5590349029903496,431.53437913638044,0.0,-2.8166992905150665
3431,17340,4002.0,85.5,-60.6,2.0,31.4,311.0,-79.685637,41.719551,17287.0,2753.735,31.355,-86.6,-60.6,5.5,13.4,116.0,72194.0,0.140137,20.600253510301922,23.697880818995046,2.2075611506691364,-2.6052006581239233,431.4766189573346,-0.00026255599258591015,-2.8245951090188317
3432,17345,4002.8333333333335,85.41666666666667,-60.6,2.0,31.4,311.0,-79.68540283333333,41.719397666666666,17292.0,2754.4383333333335,31.339166666666664,-86.6,-60.6,5.5,13.4,116.0,72219.83333333333,0.14006283333333333,20.600253510301922,23.697880818995046,2.2201669732299454,-2.651154014883237,431.59696954937397,0.0005469158574746456,-2.8322488913133474
3433,17350,4003.8,85.4,-60.68,2.0,31.32,311.0,-79.685132,41.7192206,17297.0,2755.2542,31.32,-86.68,-60.68,5.5,13.4,116.0,72249.0,0.1399768,20.54776878798268,23.637504052577228,2.231309629954989,-2.6968716644327553,431.45936411135835,-0.0006255274452068736,-2.839668444166237
3434,17355,4004.8,85.32,-60.7,2.0,31.3,311.0,-79.6848512,41.7190368,17302.8,2756.0726,31.3,-86.7,-60.7,5.34,13.4,116.0,72279.8,0.13988699999999998,20.53464760740287,23.622409860972773,2.2409541372689112,-2.742329995932182,431.5345942665398,0.0003419219738634858,-2.846861468366581
3435,17360,4005.8,85.22,-60.7,2.0,31.22,311.0,-79.684571,41.7188536,17308.0,2756.859,31.2792,-86.7,-60.7,5.14,13.4,116.0,72310.0,0.1397962,20.48216288508363,23.56203309455495,2.2490678410799467,-2.7875052815731576,431.6793574987348,0.0006577300148106221,-2.853835156428222
3436,17365,4006.6666666666665,85.13333333333333,-60.766666666666666,2.0,31.2,311.0,-79.68432833333334,41.71869433333333,17312.333333333332,2757.545666666667,31.261666666666667,-86.76666666666667,-60.766666666666666,5.1,13.4,116.0,72336.66666666667,0.13971733333333333,20.46904170450382,23.546938902950494,2.255620373084407,-2.832373850393391,431.6701304763606,-4.1923761955056475e-05,-2.8605956038704448
3437,17370,4007.6,85.1,-60.8,2.0,31.2,311.0,-79.6840664,41.7185226,17317.0,2758.279,31.2424,-86.8,-60.8,5.1,13.4,116.0,72365.0,0.1396318,20.46904170450382,23.546938902950494,2.260584032993561,-2.8769117600431384,431.65104138523213,-8.673674684733222e-05,-2.8671481775181333
3438,17375,4008.6,85.03999999999999,-60.86,2.0,31.2,311.0,-79.683786,41.7183392,17322.0,2759.0698,31.223200000000002,-86.8,-60.86,5.1,13.4,116.0,72395.6,0.1395458,20.46904170450382,23.546938902950494,2.263934564243432,-2.9210940041623656,431.6167043326953,-0.00015603263399224646,-2.8734982494242605
